0.00000 0.00000
-1.00000 0.00000
-0.99979 0.02041
-0.99915 0.04122
-0.99805 0.06244
-0.99646 0.08406
-0.99436 0.10608
-0.99171 0.12850
-0.98849 0.15130
-0.98466 0.17448
-0.98020 0.19802
-0.97507 0.22192
-0.96923 0.24615
-0.96266 0.27071
-0.95532 0.29557
-0.94718 0.32071
-0.93820 0.34611
-0.92834 0.37173
-0.91758 0.39755
-0.90588 0.42353
-0.89321 0.44964
-0.87954 0.47583
-0.86483 0.50207
-0.84906 0.52830
-0.83220 0.55448
-0.81422 0.58055
-0.79512 0.60646
-0.77485 0.63214
-0.75342 0.65753
-0.73082 0.68258
-0.70702 0.70719
-0.68203 0.73132
-0.65586 0.75488
-0.62851 0.77780
-0.60000 0.80000
-0.57034 0.82141
-0.53956 0.84195
-0.50769 0.86154
-0.47477 0.88011
-0.44085 0.89758
-0.40598 0.91388
-0.37020 0.92895
-0.33360 0.94272
-0.29623 0.95512
-0.25817 0.96610
-0.21951 0.97561
-0.18033 0.98361
-0.14071 0.99005
-0.10075 0.99491
-0.06055 0.99817
-0.02020 0.99980
0.02020 0.99980
0.06055 0.99817
0.10075 0.99491
0.14071 0.99005
0.18033 0.98361
0.21951 0.97561
0.25817 0.96610
0.29623 0.95512
0.33360 0.94272
0.37020 0.92895
0.40598 0.91388
0.44085 0.89758
0.47477 0.88011
0.50769 0.86154
0.53956 0.84195
0.57034 0.82141
0.60000 0.80000
0.62851 0.77780
0.65586 0.75488
0.68203 0.73132
0.70702 0.70719
0.73082 0.68258
0.75342 0.65753
0.77485 0.63214
0.79512 0.60646
0.81422 0.58055
0.83220 0.55448
0.84906 0.52830
0.86483 0.50207
0.87954 0.47583
0.89321 0.44964
0.90588 0.42353
0.91758 0.39755
0.92834 0.37173
0.93820 0.34611
0.94718 0.32071
0.95532 0.29557
0.96266 0.27071
0.96923 0.24615
0.97507 0.22192
0.98020 0.19802
0.98466 0.17448
0.98849 0.15130
0.99171 0.12850
0.99436 0.10608
0.99646 0.08406
0.99805 0.06244
0.99915 0.04122
0.99979 0.02041
1.00000 0.00000
